filed_date,transaction_date,ticker,company,insider_name,insider_title,transaction_code,transaction_type,shares,price,value,acquired_disposed,accession_no
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,722.0,196.28,141714.16,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,296.0,197.35,58415.6,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,196.0,198.27,38860.92,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,230.0,199.44,45871.2,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,30.0,189.29,5678.7,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,316.0,192.01,60675.16,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,178.0,193.14,34378.92,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,105.0,199.44,20941.2,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,311.0,195.35,60753.85,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,329.0,196.28,64576.12,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,135.0,197.35,26642.25,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,91.0,198.28,18043.48,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,104.0,189.29,19686.16,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,1095.0,192.01,210250.95,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,626.0,193.14,120905.64,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,366.0,193.87,70956.42,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,1113.0,195.34,217413.42,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,1149.0,196.28,225525.72,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,469.0,197.35,92557.15,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,313.0,198.28,62061.64,D,000093833326000009
2026-08-06,2026-08-04,APPF,APPFOLIO INC,DUCA MAURICE J,,S,Open-market sell,365.0,199.44,72795.6,D,000093833326000009
2026-08-06,2026-08-04,FSLY,"Fastly, Inc.",Compton Charles Lacey III,CEO,S,Open-market sell,14868.0,25.0,371700.0,D,000151741326000224
2026-08-06,2026-08-04,XYZ,"Block, Inc.",Eisen Anthony Mathew,Director,S,Open-market sell,6000.0,82.31,493860.0,D,000162828026054510
2026-08-06,2026-08-04,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,3641.0,37.612,136945.29,D,000189511126000016
2026-08-06,2026-08-04,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,77590.0,38.4029,2979681.01,D,000189511126000016
2026-08-06,2026-08-04,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,1640.0,37.6836,61801.1,D,000189511126000016
2026-08-06,2026-08-04,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,8960.0,38.1655,341962.88,D,000189511126000016
2026-08-06,2026-08-04,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,2100.0,37.7579,79291.59,D,000189511126000016
2026-08-06,2026-08-04,IOT,Samsara Inc.,Biswas Sanjit,CHIEF EXECUTIVE OFFICER,S,Open-market sell,25546.0,38.417,981400.68,D,000189511126000016
2026-08-06,2026-08-04,IOT,Samsara Inc.,Bicket John,SEE REMARKS,S,Open-market sell,3605.0,37.6087,135579.36,D,000189510626000017
2026-08-06,2026-08-04,IOT,Samsara Inc.,Bicket John,SEE REMARKS,S,Open-market sell,77678.0,38.4033,2983091.54,D,000189510626000017
2026-08-06,2026-08-04,IOT,Samsara Inc.,Bicket John,SEE REMARKS,S,Open-market sell,1400.0,37.6504,52710.56,D,000189510626000017
2026-08-06,2026-08-04,IOT,Samsara Inc.,Bicket John,SEE REMARKS,S,Open-market sell,9200.0,38.1537,351014.04,D,000189510626000017
2026-08-06,2026-08-04,IOT,Samsara Inc.,Bicket John,SEE REMARKS,S,Open-market sell,2319.0,37.7792,87609.96,D,000189510626000017
2026-08-06,2026-08-04,IOT,Samsara Inc.,Bicket John,SEE REMARKS,S,Open-market sell,25352.0,38.4189,973995.95,D,000189510626000017
2026-08-07,2026-08-03,KNTK,Kinetik Holdings Inc.,ISQ Global Fund II GP LLC,,S,Open-market sell,2175.0,50.0416,108840.48,D,000090514826003534
2026-08-07,2026-07-31,LHAI,Linkhome Holdings Inc.,Qin Zhen,CEO and Chairman,S,Open-market sell,625000.0,0.8,500000.0,D,000121390026086889
2026-08-07,2026-07-14,BAFN,BayFirst Financial Corp.,Rogers Alfred Tate Jr,CEO & President,S,Open-market sell,148564.0,,,A,000213632726000005
2026-08-07,2026-07-14,BAFN,BayFirst Financial Corp.,Rogers Alfred Tate Jr,CEO & President,S,Open-market sell,279986.0,,,A,000213632726000005
2026-08-07,2026-07-14,BAFN,BayFirst Financial Corp.,Rogers Alfred Tate Jr,CEO & President,S,Open-market sell,22856.0,,,A,000213632726000005
2026-08-07,2026-07-14,BAFN,BayFirst Financial Corp.,Rogers Alfred Tate Jr,CEO & President,S,Open-market sell,691394.0,,,A,000213632726000005
2026-08-07,2026-06-03,RDN,RADIAN GROUP INC,Bartholomew Meghan,"Sr. EVP, Co-Head of MI",S,Open-market sell,0.944,34.68,32.74,D,000089092626000140
